#id;characters;meanings;onyomi;kunyomi;nanori;importantReading;level;url
450;上;Above, Up, Over;ジョウ;うえ, あ, のぼ, うわ, かみ;;onyomi;1;https://www.wanikani.com/kanji/%E4%B8%8A
451;下;Below, Down, Under, Beneath;カ, ゲ;した, さ, くだ, お;;onyomi;1;https://www.wanikani.com/kanji/%E4%B8%8B
453;大;Big, Large;タイ, ダイ;おお;ひろ;onyomi;1;https://www.wanikani.com/kanji/%E5%A4%A7
457;工;Construction, Industry;コウ, ク;;;onyomi;1;https://www.wanikani.com/kanji/%E5%B7%A5
446;八;Eight;ハチ;や, よう;;onyomi;1;https://www.wanikani.com/kanji/%E5%85%AB
445;入;Enter;ニュウ;はい, い;;onyomi;1;https://www.wanikani.com/kanji/%E5%85%A5
455;山;Mountain;サン;やま;;onyomi;1;https://www.wanikani.com/kanji/%E5%B1%B1
452;口;Mouth;コウ, ク;くち;;onyomi;1;https://www.wanikani.com/kanji/%E5%8F%A3
442;九;Nine;ク, キュウ;ここの;;onyomi;1;https://www.wanikani.com/kanji/%E4%B9%9D
440;一;One;イチ, イツ;ひと;かず;onyomi;1;https://www.wanikani.com/kanji/%E4%B8%80
444;人;Person;ニン, ジン;ひと, と;;onyomi;1;https://www.wanikani.com/kanji/%E4%BA%BA
447;力;Power, Strength;リョク, リキ;ちから;;onyomi;1;https://www.wanikani.com/kanji/%E5%8A%9B
456;川;River;セン;かわ;;kunyomi;1;https://www.wanikani.com/kanji/%E5%B7%9D
443;七;Seven;シチ;なな, なの;;onyomi;1;https://www.wanikani.com/kanji/%E4%B8%83
448;十;Ten;ジュウ;とお;;onyomi;1;https://www.wanikani.com/kanji/%E5%8D%81
449;三;Three;サン;み;;onyomi;1;https://www.wanikani.com/kanji/%E4%B8%89
441;二;Two;ニ;ふた;;onyomi;1;https://www.wanikani.com/kanji/%E4%BA%8C
454;女;Woman;ジョ;おんな, め;;onyomi;1;https://www.wanikani.com/kanji/%E5%A5%B3
466;又;Again;;また;;kunyomi;2;https://www.wanikani.com/kanji/%E5%8F%88
489;玉;Ball;ギョク;たま;;kunyomi;2;https://www.wanikani.com/kanji/%E7%8E%89
487;本;Book, Origin, Real, Main;ホン;もと;;onyomi;2;https://www.wanikani.com/kanji/%E6%9C%AC
462;子;Child, Kid;シ, ス;こ;;onyomi;2;https://www.wanikani.com/kanji/%E5%AD%90
467;丸;Circle, Circular, Round;ガン;まる;;kunyomi;2;https://www.wanikani.com/kanji/%E4%B8%B8
488;正;Correct;セイ, ショウ;ただ, まさ;;onyomi;2;https://www.wanikani.com/kanji/%E6%AD%A3
459;土;Dirt, Soil, Earth, Ground;ド, ト;つち;;onyomi;2;https://www.wanikani.com/kanji/%E5%9C%9F
481;犬;Dog;ケン;いぬ;;kunyomi;2;https://www.wanikani.com/kanji/%E7%8A%AC
461;夕;Evening;セキ;ゆう;;kunyomi;2;https://www.wanikani.com/kanji/%E5%A4%95
483;出;Exit;シュツ;で, だ;;onyomi;2;https://www.wanikani.com/kanji/%E5%87%BA
492;目;Eye;モク;め;;kunyomi;2;https://www.wanikani.com/kanji/%E7%9B%AE
465;了;Finish, Complete, End;リョウ;;;onyomi;2;https://www.wanikani.com/kanji/%E4%BA%86
480;火;Fire;カ;ひ, ほ;;onyomi;2;https://www.wanikani.com/kanji/%E7%81%AB
470;五;Five;ゴ;いつ;;onyomi;2;https://www.wanikani.com/kanji/%E4%BA%94
485;四;Four;シ;よん, よ;;onyomi;2;https://www.wanikani.com/kanji/%E5%9B%9B
468;才;Genius;サイ;;;onyomi;2;https://www.wanikani.com/kanji/%E6%89%8D
474;手;Hand;シュ, ズ;て;;kunyomi;2;https://www.wanikani.com/kanji/%E6%89%8B
473;天;Heaven;テン;あま;;onyomi;2;https://www.wanikani.com/kanji/%E5%A4%A9
482;王;King;オウ;;;onyomi;2;https://www.wanikani.com/kanji/%E7%8E%8B
486;左;Left;サ;ひだり;;onyomi;2;https://www.wanikani.com/kanji/%E5%B7%A6
469;中;Middle, In, Inside, Center;チュウ;なか;;onyomi;2;https://www.wanikani.com/kanji/%E4%B8%AD
477;月;Moon, Month;ゲツ, ガツ;つき;;onyomi;2;https://www.wanikani.com/kanji/%E6%9C%88
856;々;Repeater, Repetition, Reduplication, Iteration Mark;;のま;;kunyomi;2;https://www.wanikani.com/kanji/%E3%80%85
490;田;Rice Paddy, Rice Field, Field;デン;た;;kunyomi;2;https://www.wanikani.com/kanji/%E7%94%B0
484;右;Right;ユウ, ウ;みぎ;;onyomi;2;https://www.wanikani.com/kanji/%E5%8F%B3
471;六;Six;ロク;む;;onyomi;2;https://www.wanikani.com/kanji/%E5%85%AD
463;小;Small, Little;ショウ;ちい, こ, お;;onyomi;2;https://www.wanikani.com/kanji/%E5%B0%8F
