#id;characters;meanings;firstReading;readings;partsOfSpeech;level;url
2502;大人;Adult, Mature;おとな;おとな;noun, な adjective, の adjective;1;https://www.wanikani.com/vocabulary/%E5%A4%A7%E4%BA%BA
2477;一人;Alone, One Person;ひとり;ひとり;noun;1;https://www.wanikani.com/vocabulary/%E4%B8%80%E4%BA%BA
7560;人工;Artificial, Man Made, Human Made;じんこう;じんこう;noun, の adjective;1;https://www.wanikani.com/vocabulary/%E4%BA%BA%E5%B7%A5
2499;大きい;Big, Large;おおきい;おおきい;い adjective;1;https://www.wanikani.com/vocabulary/%E5%A4%A7%E3%81%8D%E3%81%84
2493;下;Down, Below, Under, Beneath;した;した;noun;1;https://www.wanikani.com/vocabulary/%E4%B8%8B
2482;八;Eight;はち;はち;numeral;1;https://www.wanikani.com/vocabulary/%E5%85%AB
2483;八つ;Eight Things;やっつ;やっつ;numeral;1;https://www.wanikani.com/vocabulary/%E5%85%AB%E3%81%A4
2498;入り口;Entrance;いりぐち;いりぐち;noun;1;https://www.wanikani.com/vocabulary/%E5%85%A5%E3%82%8A%E5%8F%A3
2501;大した;Great, Considerable, Important, Big Deal;たいした;たいした;adjective;1;https://www.wanikani.com/vocabulary/%E5%A4%A7%E3%81%97%E3%81%9F
2504;山;Mountain;やま;やま;noun;1;https://www.wanikani.com/vocabulary/%E5%B1%B1
2497;口;Mouth;くち;くち;noun;1;https://www.wanikani.com/vocabulary/%E5%8F%A3
2505;ふじ山;Mt Fuji, Mount Fuji, Mt. Fuji;ふじさん;ふじさん;proper noun;1;https://www.wanikani.com/vocabulary/%E3%81%B5%E3%81%98%E5%B1%B1
2471;九;Nine;きゅう;きゅう, く;numeral;1;https://www.wanikani.com/vocabulary/%E4%B9%9D
2472;九つ;Nine Things;ここのつ;ここのつ;numeral;1;https://www.wanikani.com/vocabulary/%E4%B9%9D%E3%81%A4
2467;一;One;いち;いち;numeral;1;https://www.wanikani.com/vocabulary/%E4%B8%80
2468;一つ;One Thing;ひとつ;ひとつ;numeral;1;https://www.wanikani.com/vocabulary/%E4%B8%80%E3%81%A4
2475;人;Person;ひと;ひと;noun;1;https://www.wanikani.com/vocabulary/%E4%BA%BA
2496;下さい;Please Give Me, Please;ください;ください;expression;1;https://www.wanikani.com/vocabulary/%E4%B8%8B%E3%81%95%E3%81%84
3402;人口;Population;じんこう;じんこう;noun;1;https://www.wanikani.com/vocabulary/%E4%BA%BA%E5%8F%A3
2484;力;Power, Strength, Ability;ちから;ちから;noun;1;https://www.wanikani.com/vocabulary/%E5%8A%9B
